Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:02,
Recipe Name,SL-01 Chicken Caesar Salad,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Salads,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,67.21425099206311%,$4.917862351190532,32.78574900793688%,$0.00,0.00%,$4.917862351190532,$4.917862351190532/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Produce, Lettuce, Romaine",Product,4 oz,100%,100%,$2.93333333333333,,
Fried Chicken Tender,PrepRecipe,1 each,100%,100%,$1.2198102678572023,,
"Dry Goods, Croutons, Homestyle",Product,2 oz,100%,100%,$0.331375,,
"Dairy, Chesse, Parmesan, Grated",Product,2 oz,100%,100%,$0.19725,,
"Dry Goods, Caesar Dressing",Product,4 oz,100%,100%,$0.23609375,,
