Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:54,
Recipe Name,Buffalo Chicken Wings,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,79.70185487047226%,$2.6387588668386055,20.298145129527732%,$0.00,0.00%,$2.6387588668386055,$2.6387588668386055/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Wing",Product,10 oz,100%,100%,$1.025,,
"Dry Goods, Bread, Texas Toast",Product,1 slice,100%,100%,$0.219,,
"Dry Goods, Pickle, DIll, Slices",Product,1 oz,100%,100%,$0.262083866837722,,
"Dry Goods, Shortening, Pork Lard",Product,1 oz,100%,100%,$0.081675,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,3 oz,100%,100%,$0.3556875,,
"Dry Goods, Sauce, Buffalo Wing Red Hot",Product,4 fl oz,100%,100%,$0.695312500000884,,
